1,agro_industry_and_commerce,MG,1,442.26
1,agro_industry_and_commerce,PA,1,465.23
1,agro_industry_and_commerce,PE,1,997.37
1,agro_industry_and_commerce,PI,1,46.34
1,agro_industry_and_commerce,PR,2,233.05
1,agro_industry_and_commerce,RJ,2,359.53
1,agro_industry_and_commerce,RS,1,243.35
1,agro_industry_and_commerce,SP,8,385.03
1,air_conditioning,ES,1,216.15
1,air_conditioning,MT,1,155.07
1,air_conditioning,PR,3,211.31
1,air_conditioning,RJ,8,654.27
1,air_conditioning,SP,12,260.07
1,art,MS,1,151.39
1,art,PR,1,161.46
1,art,RJ,4,168.03
1,art,RS,1,85.24
1,art,SP,12,181.41
1,audio,BA,2,71.12
1,audio,DF,3,130.72
1,audio,MG,2,120.04
1,audio,PI,1,27.03
1,audio,PR,1,310.11
1,audio,RJ,3,227.03
1,audio,RN,1,224.12
1,audio,SC,1,83.22
1,audio,SP,11,200.88
1,auto,AL,1,171.84
1,auto,BA,12,169.62
1,auto,CE,2,223.34
1,auto,DF,9,196.04
1,auto,ES,8,247.28
1,auto,GO,5,75.73
1,auto,MA,4,112.07
1,auto,MG,38,249.09
1,auto,MT,6,161.17
1,auto,PA,4,354.1
1,auto,PE,3,177.85
1,auto,PI,3,190.24
1,auto,PR,12,495.24
1,auto,RJ,20,185.76
1,auto,RO,2,81.81
1,auto,RS,16,129.52
1,auto,SC,12,224.65
1,auto,SE,1,304.95
1,auto,SP,115,277.27
1,auto,TO,1,179.46
1,baby,AM,1,420.13
1,baby,BA,8,123.75
1,baby,CE,2,116.81
1,baby,DF,3,60.61
1,baby,ES,3,502.51
1,baby,GO,7,101.88
1,baby,MG,35,182.11
1,baby,MS,4,95.27
1,baby,MT,4,133.65
1,baby,PA,4,274.43
1,baby,PB,1,100.21
1,baby,PE,5,200.29
1,baby,PI,2,404.28
1,baby,PR,16,190.31
1,baby,RJ,33,177.38
1,baby,RN,2,166.76
1,baby,RS,14,222.58
1,baby,SC,13,240.73
1,baby,SP,85,181.96
1,baby,TO,1,122.15
1,bed_bath_table,AC,2,708.14
1,bed_bath_table,AL,2,164.29
1,bed_bath_table,BA,5,198.78
1,bed_bath_table,CE,5,253.8
1,bed_bath_table,DF,17,169.55
1,bed_bath_table,ES,14,141.15
1,bed_bath_table,GO,11,564.43
1,bed_bath_table,MA,1,263.65
1,bed_bath_table,MG,97,259.81
